price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
5436000,8235,4,2,4,yes,yes,no,no,yes,0,yes,semi-furnished
5481000,14501,2,1,3,yes,no,no,no,no,0,no,furnished
3686000,2941,4,3,1,yes,yes,yes,yes,no,0,no,semi-furnished
4043000,5231,4,1,4,yes,no,no,no,yes,0,no,unfurnished
7384000,13299,5,3,4,yes,no,yes,no,no,2,no,semi-furnished
4354000,9204,2,3,3,yes,no,yes,no,no,0,no,furnished
4494000,8930,4,1,3,yes,yes,yes,no,no,2,yes,semi-furnished
3398000,3286,4,3,4,yes,yes,no,no,no,3,no,unfurnished
3814000,5346,2,2,1,yes,no,no,yes,no,1,no,semi-furnished
6351000,12841,2,3,4,yes,yes,no,no,yes,0,yes,unfurnished
6201000,12994,4,2,3,yes,yes,no,yes,no,1,no,semi-furnished
2741000,2348,2,2,1,yes,no,no,no,yes,1,no,unfurnished
5646000,12002,4,3,3,yes,no,no,no,no,3,no,semi-furnished
5775000,13939,4,1,1,yes,yes,no,no,no,1,no,furnished
4496000,6387,5,2,2,yes,no,no,no,yes,2,no,semi-furnished
6187000,15527,1,1,3,no,yes,yes,yes,yes,1,no,furnished
3519000,2504,4,2,3,yes,no,no,no,no,1,yes,unfurnished
6242000,9814,3,3,4,yes,no,no,yes,yes,1,no,unfurnished
3743000,7505,1,3,3,yes,no,no,no,no,0,no,semi-furnished
5160000,9042,1,2,3,yes,no,yes,no,yes,0,no,semi-furnished
5574000,8178,1,3,2,yes,no,no,no,yes,2,yes,furnished
5709000,13316,5,2,3,yes,no,yes,no,no,2,no,unfurnished
6961000,15599,4,3,2,yes,yes,no,no,no,0,yes,semi-furnished
3803000,6899,5,1,2,no,no,no,no,no,2,yes,furnished
4885000,6822,4,3,2,yes,no,no,no,yes,0,no,semi-furnished
2903000,3357,5,1,2,yes,no,yes,no,no,3,no,furnished
6356000,12619,5,3,1,yes,no,no,no,no,1,no,semi-furnished
3467000,7441,3,1,4,yes,no,no,no,no,1,no,semi-furnished
5596000,11575,5,3,1,yes,yes,no,no,no,2,no,furnished
3770000,7185,2,1,3,yes,no,no,no,no,0,no,unfurnished
3421000,6581,3,2,1,yes,no,yes,no,no,0,no,furnished
4003000,5160,5,2,1,yes,no,no,no,yes,2,yes,furnished
2202000,1852,1,1,3,yes,no,no,no,no,0,no,furnished
6405000,13097,2,3,3,yes,no,no,no,yes,3,no,unfurnished
3569000,5868,2,1,3,yes,no,yes,no,no,1,no,semi-furnished
6678000,14338,2,3,1,yes,yes,no,no,yes,2,no,semi-furnished
4694000,10608,3,2,1,yes,yes,no,no,no,2,no,furnished
4638000,6039,5,3,3,yes,yes,no,no,no,0,no,furnished
4592000,3977,5,2,4,yes,no,yes,yes,yes,2,no,semi-furnished
5674000,9654,1,3,4,yes,yes,no,no,yes,3,yes,unfurnished
3331000,4581,1,3,2,no,no,yes,no,yes,0,no,unfurnished
4757000,9427,2,3,3,yes,no,yes,no,no,0,no,furnished
1932000,1847,1,1,2,yes,no,yes,no,no,0,no,semi-furnished
5510000,8775,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
3593000,3580,5,2,2,yes,yes,no,no,no,3,no,semi-furnished
5491000,13424,2,2,3,no,no,no,yes,yes,0,no,unfurnished
3695000,7937,1,1,3,no,no,yes,no,no,2,no,furnished
5204000,10450,3,2,3,yes,no,no,no,no,3,no,unfurnished
4854000,13114,3,1,1,yes,no,no,no,yes,1,no,unfurnished
4778000,10989,1,3,2,yes,no,no,no,no,1,no,unfurnished
4348000,5932,5,2,4,no,no,no,no,yes,2,no,semi-furnished
6191000,13239,1,2,4,yes,no,yes,no,yes,2,no,semi-furnished
4330000,4161,2,1,4,yes,no,no,no,yes,3,yes,unfurnished
5214000,11636,1,2,1,yes,no,yes,no,yes,1,no,furnished
3168000,2309,3,2,1,yes,yes,no,no,no,1,no,semi-furnished
3661000,4461,1,3,3,yes,no,yes,no,no,1,no,unfurnished
6097000,8748,5,2,4,yes,yes,yes,no,no,1,no,unfurnished
6839000,15893,4,3,1,yes,no,no,yes,yes,1,no,unfurnished
4091000,8196,1,1,3,yes,no,no,no,yes,0,yes,furnished
6622000,11211,5,2,4,yes,yes,yes,no,no,2,yes,unfurnished
4105000,3636,5,3,2,yes,no,no,no,no,0,no,unfurnished
6016000,15472,3,1,3,yes,no,no,yes,yes,1,no,furnished
5068000,9988,5,2,1,yes,no,yes,no,no,3,no,semi-furnished
5171000,13061,5,1,1,yes,no,no,no,no,3,no,furnished
4347000,4561,5,2,3,yes,no,yes,no,no,1,yes,semi-furnished
3350000,3384,5,1,3,yes,yes,no,no,no,1,no,unfurnished
3511000,3493,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
5789000,10330,2,3,2,yes,yes,yes,no,yes,0,yes,unfurnished
4056000,4626,3,1,4,yes,no,yes,no,no,0,no,unfurnished
3176000,3609,1,2,2,yes,yes,no,no,yes,1,no,semi-furnished
4773000,7409,5,2,3,yes,no,no,no,no,0,no,unfurnished
4527000,8344,1,3,2,yes,no,no,no,no,3,no,semi-furnished
3801000,4035,1,2,1,yes,yes,no,no,yes,0,no,unfurnished
4949000,12761,3,2,3,yes,no,no,no,no,1,no,furnished
4781000,6386,5,2,4,yes,no,yes,no,yes,3,no,unfurnished
3746000,3452,5,1,1,yes,no,no,no,no,0,yes,furnished
4058000,9805,4,1,1,yes,no,no,no,no,2,no,semi-furnished
4825000,9770,1,2,4,yes,no,yes,no,no,3,no,unfurnished
4666000,8266,1,3,4,yes,no,yes,no,no,3,no,semi-furnished
6586000,15907,2,1,2,yes,yes,yes,no,no,2,no,semi-furnished
6583000,16136,4,3,3,yes,yes,no,no,no,2,no,semi-furnished
4405000,7184,2,2,4,yes,no,no,no,no,3,no,unfurnished
4722000,5711,2,2,4,yes,no,yes,no,yes,2,yes,furnished
6017000,13211,2,1,3,yes,no,no,no,yes,1,no,furnished
6818000,15572,3,2,4,yes,no,yes,no,yes,1,no,furnished
3594000,1912,3,1,4,yes,no,no,no,yes,1,yes,semi-furnished
5863000,15725,2,2,2,yes,no,yes,no,no,3,no,furnished
5094000,7937,4,2,1,yes,no,no,no,no,2,no,semi-furnished
3620000,10465,1,1,1,no,no,no,no,no,2,no,semi-furnished
4468000,10858,4,1,1,no,no,no,no,yes,0,no,furnished
6183000,13485,5,1,1,yes,no,no,no,no,0,yes,semi-furnished
6720000,14818,3,2,4,yes,no,yes,no,yes,2,no,unfurnished
3742000,3699,1,2,3,yes,no,no,no,no,2,no,furnished
4404000,7073,1,3,3,yes,yes,yes,no,no,2,no,semi-furnished
6760000,13565,5,1,2,yes,yes,yes,no,yes,3,no,semi-furnished
4570000,6198,5,2,2,yes,no,no,no,yes,2,yes,semi-furnished
3847000,4758,2,2,4,yes,no,yes,no,yes,0,yes,unfurnished
6396000,15121,3,1,3,yes,no,yes,no,no,3,no,semi-furnished
6489000,13932,3,3,3,yes,no,no,no,no,2,no,semi-furnished
3526000,8808,4,1,1,yes,yes,no,no,no,0,no,furnished
6152000,11898,2,3,4,yes,no,no,no,yes,3,no,semi-furnished
5443000,9050,2,2,4,yes,no,yes,no,no,2,no,semi-furnished
3845000,4820,2,3,1,yes,no,yes,no,no,2,no,furnished
5223000,11524,2,2,4,yes,no,no,no,no,2,no,semi-furnished
3787000,3905,3,1,4,yes,no,yes,no,yes,3,no,unfurnished
3980000,2804,3,1,2,yes,yes,yes,no,yes,0,no,semi-furnished
2758000,6149,2,1,3,yes,no,no,no,no,0,no,semi-furnished
5663000,7945,4,3,4,yes,no,no,no,yes,1,yes,unfurnished
3726000,7847,1,2,2,yes,no,no,no,yes,2,no,unfurnished
6084000,13033,1,1,3,no,no,yes,no,yes,1,yes,semi-furnished
5332000,11538,4,1,1,yes,yes,yes,no,no,1,yes,unfurnished
5580000,13833,2,2,2,yes,yes,no,no,no,0,no,unfurnished
6649000,14565,3,1,2,no,no,yes,no,no,3,no,semi-furnished
5644000,14524,1,2,3,yes,no,no,no,no,3,no,semi-furnished
4074000,3298,5,2,1,yes,yes,no,yes,no,0,no,semi-furnished
4841000,7189,5,2,2,yes,yes,no,no,yes,3,no,unfurnished
5928000,11287,4,2,4,yes,no,yes,no,no,1,yes,semi-furnished
5768000,5849,2,2,4,yes,yes,yes,no,yes,2,no,furnished
5827000,13765,1,3,4,yes,no,no,no,no,0,no,unfurnished
3974000,10095,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
6119000,13025,1,3,2,yes,no,no,no,yes,3,no,furnished
4233000,4207,4,1,4,yes,yes,yes,no,yes,2,no,semi-furnished
5307000,7242,4,3,1,yes,yes,yes,no,yes,3,no,semi-furnished
3834000,1748,5,2,4,yes,no,no,no,yes,3,no,unfurnished
4149000,3850,2,1,3,yes,no,no,no,yes,1,no,furnished
6778000,15822,5,1,2,yes,no,no,yes,no,3,no,unfurnished
3373000,4611,2,3,2,yes,yes,yes,no,no,1,no,semi-furnished
6564000,15857,5,3,1,yes,no,no,no,no,1,no,furnished
2986000,6623,3,1,1,yes,no,no,no,no,1,no,unfurnished
3772000,6083,3,3,2,yes,no,no,no,no,0,no,semi-furnished
5741000,13619,3,3,4,no,no,no,no,no,0,yes,furnished
5523000,4519,3,3,4,yes,no,yes,no,no,3,yes,semi-furnished
5442000,13076,1,2,3,yes,no,no,no,yes,1,no,unfurnished
7433000,13633,3,2,4,yes,yes,yes,yes,yes,0,yes,semi-furnished
3222000,2606,4,3,1,yes,no,no,no,no,1,yes,furnished
6097000,15642,4,3,1,yes,yes,no,no,no,2,no,furnished
5806000,13909,1,2,4,no,no,no,yes,no,2,no,furnished
5111000,10002,3,2,1,yes,no,no,no,yes,2,no,unfurnished
5161000,7349,3,1,2,yes,yes,yes,no,yes,3,yes,semi-furnished
3250000,8594,3,1,2,yes,no,no,no,no,1,yes,furnished
4842000,6143,5,2,4,yes,yes,no,no,yes,2,yes,furnished
5569000,11142,2,3,2,yes,no,yes,no,no,0,no,semi-furnished
4321000,6561,5,3,2,yes,no,yes,no,no,2,no,unfurnished
4240000,5637,2,3,3,yes,yes,no,no,no,2,no,semi-furnished
